cell_id,B2_mean,B2_std,B3_mean,B3_std,B4_mean,B4_std,B8_mean,B8_std,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,EVI_mean,EVI_std,GNDVI_mean,GNDVI_std,comp_built_up,comp_water,comp_vegetation,comp_other
C0000206,0.057893332093954086,0.013953042216598988,0.08128083497285843,0.012228313833475113,0.08109083771705627,0.02016914263367653,0.25572165846824646,0.05383177474141121,0.505577564239502,0.15211723744869232,-0.5060537457466125,0.10285363346338272,0.33192315697669983,0.12288868427276611,0.5060522556304932,0.10285349190235138,0.1,0.0,0.5,0.4
C0000207,0.04479832574725151,0.004230700898915529,0.07135333865880966,0.007252918556332588,0.056148335337638855,0.00923709012567997,0.2801932990550995,0.04262172803282738,0.6613023281097412,0.06755944341421127,-0.5911891460418701,0.03328634798526764,0.4370952844619751,0.08703049272298813,0.5911874175071716,0.03328638896346092,0.0,0.0,0.6,0.4
C0000208,0.04509696736931801,0.006421111989766359,0.07699999958276749,0.012852296233177185,0.04500681534409523,0.006433222908526659,0.37822502851486206,0.016179267317056656,0.7873091697692871,0.029716456308960915,-0.6625790596008301,0.05108516290783882,0.6364197731018066,0.035902149975299835,0.6625776290893555,0.05108502134680748,0.0,0.0,0.66,0.33999999999999997
C0000209,0.035508573055267334,0.008608429692685604,0.05352786183357239,0.012165136635303497,0.042264290153980255,0.013794871978461742,0.34917932748794556,0.037307821214199066,0.779728889465332,0.08262539654970169,-0.7299374938011169,0.07588174194097519,0.5730829238891602,0.08575832098722458,0.7299356460571289,0.07588165253400803,0.0,0.0,0.7,0.30000000000000004
C0000210,0.052637141197919846,0.017580611631274223,0.07833071798086166,0.022345539182424545,0.08160428702831268,0.04467441141605377,0.309793621301651,0.054145004600286484,0.578407883644104,0.2363753765821457,-0.5849946737289429,0.14880429208278656,0.41764211654663086,0.19015789031982422,0.5849930644035339,0.14880402386188507,0.0,0.0,0.7,0.30000000000000004
C0000211,0.07166857272386551,0.021624159067869186,0.09710856527090073,0.026734091341495514,0.1103164404630661,0.0422915481030941,0.284984290599823,0.0709579810500145,0.4264830946922302,0.22976206243038177,-0.47324687242507935,0.16862109303474426,0.31342101097106934,0.19874079525470734,0.47324562072753906,0.16862080991268158,0.0,0.0,0.7,0.30000000000000004
C0000212,0.042516667395830154,0.011550321243703365,0.058540381491184235,0.013775386847555637,0.046577565371990204,0.019466424360871315,0.39308592677116394,0.044619325548410416,0.7819676399230957,0.11192569136619568,-0.734965443611145,0.08729914575815201,0.6389530897140503,0.11336439847946167,0.7349638938903809,0.08729904890060425,0.0,0.0,0.78,0.21999999999999997
C0000213,0.05816187337040901,0.023106124252080917,0.08012250065803528,0.028624016791582108,0.0782681256532669,0.04929704964160919,0.35089874267578125,0.05383354797959328,0.6335181593894958,0.23209360241889954,-0.6193545460700989,0.15930092334747314,0.5046729445457458,0.20413465797901154,0.619353175163269,0.15930062532424927,0.0,0.0,0.8,0.19999999999999996
C0000214,0.05818937346339226,0.016069285571575165,0.08366687595844269,0.02209489792585373,0.08789624273777008,0.04576050490140915,0.31919997930526733,0.06061768904328346,0.5634617209434509,0.2226574569940567,-0.5728397369384766,0.13924705982208252,0.4239582121372223,0.2035742849111557,0.572838306427002,0.13924682140350342,0.0,0.0,0.8,0.19999999999999996
C0000215,0.07331062853336334,0.007869254797697067,0.09603437036275864,0.013484896160662174,0.13587625324726105,0.017534753307700157,0.20408625900745392,0.0283514317125082,0.19992981851100922,0.017391206696629524,-0.3600693345069885,0.01033081766217947,0.11562155187129974,0.01723412051796913,0.36006808280944824,0.010330776683986187,0.0,0.0,0.8,0.19999999999999996
C0000216,0.0959399938583374,0.022908516228199005,0.1141027882695198,0.019825531169772148,0.12621277570724487,0.023600365966558456,0.3023222088813782,0.05854645371437073,0.40227657556533813,0.12670686841011047,-0.44641411304473877,0.07834320515394211,0.3359356224536896,0.1453283578157425,0.4464130103588104,0.07834309339523315,0.0,0.0,0.9,0.09999999999999998
C0000217,0.09476277977228165,0.03380987048149109,0.11772777885198593,0.03300142288208008,0.13155777752399445,0.04067368432879448,0.31905776262283325,0.03904896229505539,0.4183301627635956,0.17352330684661865,-0.4615150988101959,0.13918131589889526,0.34190770983695984,0.14522014558315277,0.4615139365196228,0.139180988073349,0.0,0.0,0.9,0.09999999999999998
